$	~*[,DOL][,SIS][,SI]
篥	~*[ZCT]
篦	~*[ZPOB]
篩	~*[ZPBN]*[ZREN]
篭	~*[ZLQL]
篳	~*[ZQJ][ZQJQ][ZQRJ][ZQRQ]
篶	~*[ZEZF]
篷	~*[ZPFW]
簀	~*[ZHMB]
簇	~*[ZFVD]
簍	~*[ZMG]
簑	~*[ZLDK]
簒	~*[ZMDU]
簓	~*[ZNYM][ZNMV][ZNM]
簔	~*[ZLKK]*[ZLRK]
簗	~*[ZWDT]
簟	~*[ZXJ][ZCDJ]
簡	~*[ZMD]
簣	~*[ZQA][ZCEB]
簧	~*[ZREB][ZKAV][ZKA]
簪	~*[ZKKD]
簫	~*[ZEH]
簷	~*[ZVO][ZNLI][ZNBIV][ZNBI]
簸	~*[ZKBP]
簽	~*[ZAE]*[ZOA][ZAOB][ZASE]
簾	~*[NRN]*[ZLQ][ZLBF][ZLPQ][NBNR][NBN]
簿	~*[ZWAA]*[ZWIA]
籀	~*[ZJDQ]*[ZJOQ]
籃	~[ZRFV][ZRVFV][ZRF][ZRVF]
籌	~*[ZFA][ZYYA]
籍	~*[ZD][ZLRD]
籏	~*[ZFVB]
籐	~*[ZUBW]
籔	~*[ZMGP]
籖	~*[ZJAE]
籘	~*[ZUBS]
籟	~*[ZJCB]*[ZVSB]
籠	~*[ZAL][ZAKP][ZLUL]
籤	~*[ZBBE]
籥	~*[ZAOM]
籬	~*[ZLV][ZLXV][ZWUV]
米	~*[MN]
籵	~[MJJV][MJJ]
籾	~[MDAR][MDA]
粁	~*[MGJ]
粂	~*[NNM]
粃	~*[MBL]
粉	~*[MBD]
粋	~*[MJJ][MKJV][MKJ]
粍	~*[MML]
粐	~*[MFP]
粒	~*[MLE]
粕	~[MPDV][MPD]
粗	~*[MME]
粘	~*[MZO]
粛	~*[EHI]*[EMR]*[ERM]
粟	~*[CMN]
粡	~*[MNEO]
粢	~*[BIM]*[RIM]
粤	~*[POMK]
粥	~*[QMQ]
粧	~*[MLY]
粨	~*[MTD]
粫	~*[MTNR][MRIV][MRI]
粭	~[MAOV][MAO]
粮	~[MADKV][MANV][MADK][MAN]
粱	~*[WDAM]*[WDBM]
粲	~*[ZCUM]
粳	~*[MTX][MTQX]
粹	~[MJJR][MJJ]
粽	~*[MNS][MNRS]
精	~*[MU][MHU]
糀	~*[MRPF]
糂	~*[MKBL]*[MKLB]*[MKLR]*[MKRL][MKLV][MKL]
糅	~*[MMT]
糊	~*[MFU][MJOU]
糎	~[MLQV][MLQ]
糒	~*[MRLQ]*[MRPQ]
糖	~*[MLEO]
糘	~*[MNEQ]
糜	~[LTTMV][LTTM]
糞	~*[MRB][MQRB]
糟	~*[MRFD]*[MROD]
糠	~*[MLEW]
糢	~*[MRDD]
糧	~*[MAN][MADK][MDEQ]
糯	~*[MUR][MUTR]
糲	~*[MLRU]
糴	~*[BMEV]
糶	~*[EEMV]*[EUMV]
糸	~[SAV][SA]
糺	~*[SLL]
系	~*[ESA]*[PSA]
糾	~*[SGI]*[SGJ]
紀	~*[SFL]
紂	~[SAAV][SAA]
約	~*[SNA]
紅	~*[SIE]
紆	~*[SUJ]
紊	~*[WSA]
紋	~*[SWX]
納	~*[SNB]
紐	~[SEEV][SEE]
純	~*[SEL]
紕	~*[SBL]
紗	~*[SSP]
紘	~*[SXU]
紙	~*[SXX]
級	~*[SPU]*[SRN]
紛	~*[SBD]
紜	~[STAV][STA]
素	~*[HSA]
紡	~*[SFY]
索	~*[JNS]
紫	~*[ZFS]
紬	~*[SIQ]
紮	~[TLSV][TLS]
累	~*[QSA]
細	~*[SQO]
紲	~*[SSL]
紳	~*[SII][SIQI]
紵	~[SNTS][SNT]
紹	~*[SDO]
紺	~*[SGO]
紿	~*[SUO]
終	~*[SPB]
絃	~*[SLW]
組	~*[SME]
絅	~[SNO]
絆	~*[SBJ]
絈	~*[SPD]
絋	~*[SLU]
経	~*[SSI]*[SUI]*[SUY][SESI]
絎	~*[SMII]*[SMIT]
絏	~*[SIX]*[SQX][SIQX]
結	~*[SYO]
絖	~*[SSER]
絛	~*[PIPS]
絜	~*[FDS][HDS]
絞	~*[SLX]
絡	~*[SPO]
絢	~[SNDV][SND]
絣	~*[SBK]
給	~*[SAO]
絨	~*[SAQJ]*[SAQX]
絮	~*[GOS]
統	~*[STL]*[STR]
絲	~*[SSA][WWER][WWE]
絳	~*[SPS]
絵	~*[SAD]*[SBT][SAEU][SBQD]
絶	~*[SDC]*[SNC][SDCL][SNCL]
絹	~*[SOU]
絽	~*[SOPO]
綉	~*[SHR][SEHV][SEH]
綏	~*[SEG]
經	~[SESIV][SSIV][SUIV][SUYV][SESI][SSI][SUI][SUY]
継	~*[SW][SLM][SML][SWWL]
続	~*[SB][SYFB][SYM][SYNR]
綛	~*[SDAH]
綜	~*[SS][SNRS][SNS]
綟	~*[SFD][SFAD]
綠	~[SCEWV][SEWV][XSV][SCEW][SEW][XS]
綢	~*[SNYO][SNO]
綣	~*[SPL][SBNP]
綫	~[SAFV][SAQQV][SKXV][SAF][SAQQ][SKX]
綬	~*[SENU]
維	~*[SVE]
綮	~*[FPS]
綯	~*[SNI][SNWU]
綰	~[SNBV][SNB]
綱	~*[SNX][SNBE]
網	~*[XF][SNBF][NXXV][NXX]
綴	~*[SUUU]
綵	~*[SET]*[SMN]
綷	~*[SJJ]
綸	~*[SAM]*[SBF]
綺	~*[SVO][SDTO]
綻	~*[SNEZ]
綽	~*[SZDJ][SQJR][SQJ]
綾	~*[SYX][SYBP][SYRP]
綿	~*[SPJ][PDNS][SPDN]
緇	~*[SSQ]
緊	~*[RUS]
緋	~*[SRSS]
総	~*[SH][SBUH][SPA][SPOH]
緑	~*[XS][SCEW][SEW]
緒	~*[SDV]*[SHO]*[SYD][SYPD]
緕	~[SWHV][SWRV][SWH][SWR]
緖	~[SHOV][SYDV][SYPDV][SHO][SYD][SYPD]
緘	~*[SKO][SAQO]
線	~*[SV][SAF][SAQQ][SKX][SPDW]
緜	~*[PSP][PSPN][PDNSV][PPSV][PDNS][PPS]
緝	~*[SOR]
緞	~*[SERU]
締	~*[SLNN]
緡	~*[SOXD]
緤	~*[SST]
編	~*[SFM]
緩	~*[SEX][SEGU]
緬	~*[STOH]
緯	~*[SWJ][SWOS]
緲	~*[SMS]
練	~*[SCS][SJQS]
緻	~*[SPP]
縁	~*[SEQ][SCEQ]
縄	~*[SXL][SQIL][SQQL][SNXV][SNX]
縅	~*[SAQG]
縉	~*[SOD][SEFD][SEUD]
縊	~*[SBEF][SYER][SYE]
縋	~*[SPBW]
縒	~*[SBHI][SBKIV][SBKI]
縛	~*[SIA][SACA][SAJA]
縞	~*[SLHO]*[SLNO]*[SLOO][SQOV][SQO]
縟	~*[SFKA]
縡	~*[SNL]
縢	~*[UBNS]
縣	~*[MSA][MBESV][MBPSV][MLSSV][MLSV][MUAV][MBES][MBPS][MLS][MLSS][MS][MUA]
縦	~*[SZ][SMIZ]
縫	~*[SPFW]
縮	~*[SD][SNPD]
縱	~*[SBB][SMIZV][SMIZ]
縲	~*[SQS]
縵	~*[SMX][SDFU]
縷	~*[SMG]
縹	~*[SCRS]
縺	~*[SCW]
縻	~[LTTSV][LTTS]
總	~*[BOH][SBOH][SBUHV][SPAV][SPOHV][SBUH][SH][SPA][SPOH]
績	~*[SG][SHMB]
繁	~*[VSA][VOJS][VOMS][VOXS]
繃	~*[SEUU]
繆	~*[SEM][SEEM]
繊	~*[SBBE]*[SJAE]
繋	~*[CS][CRUS][CURS]
繍	~*[SEH][SEMR]
繒	~*[SBO][SBQDV][SBQD]
織	~*[SOB][SLAD]
繕	~*[SBHO]*[SBKO]
繖	~*[SRX][SRUP]
繙	~*[SMQ]
繚	~*[SLA][SDBS]
繝	~*[SMU]
繞	~*[SYR][SQER][SYYR]
繦	~*[SQOC]*[SQUC]
繧	~*[SUT]
繩	~*[SOQL][SNXR][SNX]
繪	~*[SAQD][SADV][SBTV][SAD][SBT]
繭	~*[RNSC]
繰	~*[SLT][SOOT]
繹	~*[SCN]*[SUQ][SFYG][SFYV][SFY]
繻	~*[SUTR][SURV][SUR]
繼	~[SFWW][SLWW][SWWF][SLMV][SMLR][SWV][SWWLV][SLM][SML][SW][SWWL]
繽	~*[SBV][SNCB][SNKB][SNPB][SNSB]
繿	~*[SRF][SRVF]
纂	~*[ZMDS]
纃	~*[SWH]*[SWR]
纈	~*[SYOB]*[SYOT]
纉	~*[SQNB]
纊	~*[SLK][SLRB]
續	~*[SJM][SJYD][SXBD][SYFBV][SYMV][SYNRV][SB][SYFB][SYM][SYNR]
纎	~[SJAEV][SJAE]
纏	~*[SLQY]
纐	~*[SLXB]*[SLXT]
纒	~[SLQYV][SLQY]
纓	~*[SSG][SMBG]
纔	~*[SNOA]
纖	~[SBBEV][SGJV][SBBE][SGJ]
纛	~*[HOMS]*[HOXS]
纜	~*[SVL][SRFR][SRVR]
缶	~*[WUI]
缸	~[WUIR][WUI]
缺	~*[WUJ]
罅	~*[WUZH]
罇	~*[WUBA]
罌	~*[SWU][MBME][MBMU]
罍	~*[QQQU][QQQEV][QQQE]
罎	~*[WUDT]
罐	~*[WURV][WUR]
网	~[NXXS][NXX]
罔	~*[NBF][NBEF][NBIL][NBTF]
罕	~*[NBG]*[NRG]
罘	~[FBAV][FBA]
罟	~*[FJO]
罠	~[FOXV][FOX]
罧	~*[FTT]
罨	~*[FXL][FDIL][FDQL]
罩	~*[FQJ][FZDJ]
罪	~*[US][FRSS]
罫	~*[FYYP]
置	~*[FJE]*[FJL][FJME][FJML]
罰	~*[FIR]
署	~*[FDV]*[FHO]*[FYD][FYPD]
罵	~*[FMF][OOMF]
罷	~*[FUL]*[FYU][FUUF]
罸	~*[FIA]
罹	~*[FHV]
羂	~*[FSOU]
羃	~*[FRDN]
羅	~*[FSV][FCAV][FCA]
羆	~*[FUF][FYUF][FUUFV][FUUF]
羇	~*[FRCO]
羈	~*[FRCF]
羊	~*[BHJ]
羌	~*[BKR]
美	~*[BKD]
羔	~[BKFV][BKF]
羚	~*[BHAP]*[BHAT]
羝	~*[BHXE]
羞	~*[BHE][BKPE]
羡	~[BKBIV][BKRIV][BKBI][BKRI]
羣	~[EOBHV][EOBH]
群	~*[EH][EOBH]
羨	~*[BKBI]*[BKRI]*[BKWI]
義	~*[BX][AXX][BKI]
羮	~*[BGFD]
羯	~*[BHDB]*[BHDF]*[BHDL][BHDV][BHD]
羲	~*[BRP][BKIK][BKIR][BKKV][BKK]
羶	~*[BHLE]
羸	~*[FUBA]*[FUBZ]
羹	~*[BKFD]
羽	~*[EEE]*[EEP]
翁	~*[BEV][BUEE]
翅	~*[JUEE]
翆	~*[EEKJ][EEJJV][EEJJ]
翊	~*[LEE]
翌	~*[EEL]
習	~*[ED][EEPD]
翔	~*[BHEE]
翕	~*[AOEE]
翠	~*[EEJJ]
翡	~*[RSSE]
翦	~*[BEUE][BEEV][BEE]
翩	~*[FMEE]
翫	~*[EEPR]
翰	~*[JBEE]*[JDJE]
翳	~[FVDER][FVDE]
翹	~*[QERE]*[YREE]*[YYYE]
翻	~*[MEV][MQEE]
翼	~*[EEQB]
耀	~*[SVV][SERV]
老	~*[YPF]
考	~*[RK][YPK]
耄	~*[YPFM]
者	~*[YPD][YDOV][HO][YDO]
耆	~*[YPFD]
耋	~*[YPFP]
而	~*[RI][TNR]
耐	~*[RAV][TNRA][RAAV][RAA]
耒	~[LN]
耕	~*[LJV][LJJV][LJJ]
耗	~*[LML]
耘	~*[LTA]
耙	~*[LCL]
耜	~*[LBO]
耡	~*[LMD]
耨	~*[LFKA]
耳	~*[RJ]
耶	~[RBIV][RBI]
耻	~[RZER][RZE]
耽	~*[RKL]*[RNR]
耿	~*[RFN]
聆	~[RAPV][RATV][RAP][RAT]
聊	~*[RDP]
聒	~[RGOV][RGO]
聖	~*[ROK]*[UYE]
聘	~*[RKV]*[RQK][RIQK]
聚	~*[RUQ][RUPB]
聞	~*[MRJ]
聟	~*[VDOR]
聡	~*[RBUH]*[RPOH]
聢	~*[RNEZ]
聨	~*[RWWR]
聯	~*[RF][RBED][RBGN][RGN][RWWF]
聰	~*[RBOH][RBUHV][RPAV][RPOHR][RBUH][RPA][RPOH]
聲	~*[YRJ][YCPV][YCRRV][YCV][YC][YCP][YCRR]
聳	~*[MIBR][BBRV][BBR]
聴	~*[RH][RJA][RJFH][RKJ][RKJH]
聶	~*[RRR][RUUV][RUU]
職	~*[ROB][RLAD]
聹	~*[RNHT][RNTS][RNT]
聽	~[OKIV][RKJHV][OKI][RKJH]
聾	~*[ARJ][AKPR][LULR]
聿	~[EJR][EJ]
肄	~[FVDES][FVDE]
肅	~*[EHP][EHIV][EHI]
肆	~*[EUE]*[EUF]*[,DF]
肇	~*[FPE]
肉	~*[NBB]
肋	~[UDXV][UDYV][UDX][UDY]
肌	~*[URL]*[URZ]
肓	~*[FUV][FUEV][FUE]
肖	~*[SUE]
肘	~[UAAR][UAA]
肚	~[UYEV][UYE]
肛	~*[UIE]
肝	~*[UGJ]
股	~*[URU]
肢	~*[UJU]
肥	~*[UCL]
肩	~*[FUE]
肪	~*[UFY]
肬	~*[UAK]
肭	~*[UNB]
肯	~*[ZUE]
肱	~*[UXU]
育	~*[TUE]
肴	~*[XXU]
肺	~*[UJN]*[ULN]
胃	~*[QUV][QUEV][QUE]
胄	~[IQUR][IQU]
胆	~*[UDE]
背	~*[FFU]
胎	~*[UUO]
胖	~*[UBJ]
胙	~*[UVF]
胚	~*[UBE]
胛	~*[UQI]
胝	~*[UXE]
胞	~*[UNL][UNFL][UNOL]
胡	~*[FU][JOUV][JOU]
胤	~*[RWU][PWUL]
胥	~*[YZU][FBU]
胯	~*[UXK][UDRK]
胱	~*[USER]
胴	~*[UNEO]
胸	~*[UNXU]
胼	~*[UBK]
能	~*[UL][UUFF]
脂	~*[UFD]
脅	~*[DUV]*[UDB][DDDU]
脆	~*[UNP][UNLP]
脇	~*[UDDD]
脈	~*[UK][ULK][UUN]
脉	~[ULKV][UUNV][ULK][UUN]
脊	~*[BFU]*[FBU]*[WBU][BBBU][BRRU][FBUV]
脚	~*[UZ][UBBP][UPV][UWP][UYUP][UP]
脛	~*[UUI]*[UUY][UESI][USIV][USI]
脣	~*[FKU]
脩	~*[PIPU]
脯	~*[UIJ][UAJQ]
脱	~*[UR][UBOR]
脳	~*[USI]*[USO][USPO][USWU][USXU]
脹	~*[UEK]
脾	~*[UG][UPG][UPQG]
腆	~*[UFB][UROB]
腋	~*[ULX][ULPU]
腎	~*[RUU]
腐	~*[LBV][LPAB]
腑	~*[ULPA]
腓	~*[URSS]
腔	~*[UNBI]*[UNRI]
腕	~*[UNCP]
腟	~[UNPV][UNP]
腥	~*[UDS]
腦	~*[USX]*[UWU][ULXU][USPX][USOV][USPOV][USWUV][USXUV][USO][USPO][USWU][USXU]
腫	~*[UCI]*[UGQ]
腮	~*[UQH]
腰	~*[UCG]*[UVX]
腱	~*[UEW]
腴	~*[UGB]
腸	~*[UEP][UDEM]
腹	~*[UVDP][UVXV][UVX]
腺	~*[UPDW]
腿	~*[UDKW]
膀	~*[UGY][ULNF]
膂	~*[FVKU]
膃	~*[UDF][UOBF]
膈	~*[UEOT]
膊	~*[UIA][UAJA]
膏	~*[LUV][LHNU][LNOU][LONU]
膓	~*[UVDM][UVER][UVE]
膕	~*[UOAE]*[UOKA][UOHV][UOH]
膚	~*[UQN]*[ZQU]
膜	~*[UDV][URDD]
膝	~*[UTBW]
膠	~*[UEM][UEEM][ULXV][ULX]
膣	~*[UNBP]*[UNRP]
膤	~[UUEV][UUE]
膨	~*[UMV][UYDM]
膩	~*[UAXB]
膰	~*[UMQ]
膳	~*[UBHO]*[UBKO]*[XBHO]*[XBKO]
膵	~*[URJJ]
膸	~*[UXIW]
膺	~*[LPVU]
膽	~*[UVO][UNLI][UDEV][UNBIV][UDE][UNBI]
膾	~*[UAD]*[UBT][UAQD]
膿	~*[UNK][UFFK][UROK][UTTK]
臀	~*[CUV][CRBUV][CRBU]
臂	~*[PUE][COLU]
臆	~*[UZL]*[UZZ][ULDH]
臈	~*[URD][URDB][URDF][URDL]
臉	~*[UAE]*[UOA][UAOB][UASE][UACV][UAC]
臍	~*[UWH]*[UWR]
臑	~*[UUR][UUTR]
臓	~*[URAR]
臘	~*[USL][USFS][USOS][USRQ][URDV][URD]
臙	~*[URFF]*[UROF]
臚	~*[UZQF]
臟	~[URARV][URAR]
臠	~*[ISSB]*[LFNB]*[SISB]
臣	~*[RE]
臥	~*[RBN]*[RPA]
臧	~*[AQGR]
臨	~*[RV][RVAC][RVEC][RVOC][RVOO]
自	~*[PM][PMO]
臭	~*[PMD][PMAD]
至	~*[PE]
致	~*[PPX]
臺	~*[TE][YONP]
臻	~*[PFNH]
臼	~[GEV][GE]
臾	~*[GBN]
舁	~*[GRJ]
舂	~*[FNG]
舅	~*[GDV][GQDR][GQD]
與	~[EAV][EA]
興	~*[SEB][POBB]
舉	~[EHJR][EQJR][EQV][SEBQV][EHJ][EQ][EQJ][SEBQ]
舊	~[IDOR][RVGV][IDO][RVG]
舌	~[GOOV][GOO]
舍	~[BGOV][BOS][BYOV][BGO][BO][BYO]
舎	~*[BGO]*[BYO][BO]
舐	~*[GOX]
舒	~*[BU][BGOU][BUI]
舖	~[BAJQV][BGOIV][BGOQV][BIJV][BYOIV][BYOQV][BAJQ][BGOI][BGOQ][BIJ][BYOI][BYOQ]
舗	~*[BIJ][BAJQ][BGOI][BGOQ][BYOI][BYOQ]
舘	~*[BNB][BGOB][BYOB][XNBV][XNB]
舛	~*[CSJ][CJR][CJ]
舜	~*[ENC]*[ESV][ENCS]
舞	~*[VS][VFC][VFCS]
舟	~*[ZA]
舩	~*[ZBU]
航	~*[ZLR]
舫	~*[ZFY]
般	~*[ZU][ZRU]
舮	~*[ZFP]
舳	~[ZIQV][ZIQ]
舵	~*[ZNF]
舶	~*[ZPD]
舷	~*[ZLW]
舸	~*[ZTO]
船	~*[ZBO]*[ZRO]
艀	~*[ZEZ]
艇	~*[ZKW]
艘	~*[ZGU][ZGIU][ZIGU]
艙	~*[ZBP][ZADO]
艚	~*[ZRFD]*[ZROD]
艝	~[ZUEV][ZUE]
艟	~[ZLQV][ZLQ]
艢	~*[ZWOO]
艤	~*[ZBX][ZBKI]
艦	~*[ZMR]*[ZRF][ZRVF]
艨	~*[ZRNQ]
艪	~*[ZUFD]
艫	~*[ZZQF]
艮	~*[DKN]
良	~*[AN][ADKV][ADK]
艱	~*[UDK][RCDK]
色	~*[DCL]*[NCL]
艶	~*[RDNC]*[RDNL]*[RORC]*[RORL]
艷	~*[FDNL]*[FFEL]*[FIFL][RORLV][RORL]
艸	~*[,EE][EEIV][EEJR][EEI][EEJ]
艾	~[RXXV][RXX]
芋	~*[RUJ]
芍	~*[RNA]
芒	~*[RFL]
芙	~*[RQN]
芝	~*[RAZ]
芟	~*[RRU]
芥	~*[RBR]
芦	~*[RFP]
芫	~[RRRV][RRR]
芬	~*[RBD]
芭	~*[RCL]
芯	~[RHAR][RHA]
花	~*[RPF]
芳	~*[RFY]
芸	~*[RTA]
芹	~*[RKI]
芻	~*[NENE]
芽	~*[RXP]*[RYP]
苅	~*[RXR]
苑	~*[RCP]
苒	~*[RNY]
苓	~*[RAP]*[RAT][RPIV][RTAV][RPI][RTA]
苔	~*[RUO]
苗	~*[RQO]
苙	~*[RLE]
苛	~*[RTO]
苜	~*[RMO]
苞	~*[RNL][RNFL][RNOL]
苟	~*[RNO]
苡	~*[RUB]
苣	~*[RFF]
若	~*[ROO]*[RXO][BIPO][BGOR][BGO]
苦	~*[RJO]
苧	~[RNTV][RNT]
苫	~*[RZO]
英	~*[RCN]
苳	~*[RPB]
苴	~*[RME]
苹	~*[RPJ]
苺	~*[ROM]*[ROX]
苻	~[RPAR][RPA]
茁	~*[REU][REEV][REE]
茂	~*[RAQP]
范	~*[RWP]
茄	~[RDOV][RDO]
茅	~*[RMP]
茆	~[RDPV][RDP]
茉	~*[RYS][RQBV][RQB]
茎	~*[RUI][RESI][RSIV][RUYV][RSI][RUY]
茖	~*[RPO]
茗	~[RCOV][RCO]
茘	~[RDDDR][RDDD]
茜	~*[RCO]
茣	~*[ROKB]
茨	~*[RBI]*[RRI]
茫	~*[RWF]
茯	~*[RPAD]
茱	~[RSBV][RSSV][RSB][RSS]
茲	~*[RWW][BEWW]
茴	~[ROOV][ROO]
茵	~*[ROD]
茶	~*[RBT]
茸	~[RRJV][RRJ]
茹	~[RGOR][RGO]
荀	~[RNDR][RND]
荅	~*[RAO][ROO]
草	~*[RDJ]
荊	~*[RKR]
荏	~*[RPK]
荐	~*[PXIZ]
荒	~*[RFS]
荘	~*[RGY]
荢	~*[RNU]
荳	~*[RDE]
荵	~*[RDAH]
荷	~*[RPTO]
荻	~*[RQF]
荼	~[RATR][RBHV][RTNR][RAT][RBH][RTN]
荿	~*[RAY][RAQN]
莅	~*[RPL]
莇	~*[RMD]
莉	~*[RHR]
莊	~[RGYV][RGY]
莎	~*[RWS]
莓	~*[RVOJ]*[RVOM]*[RVOX]
莖	~[RESIV][RSIR][RUIV][RUYR][RESI][RSI][RUI][RUY]
莚	~*[RPZW]
莞	~*[RNRR]
莟	~*[RYO][RAYO]
莠	~[RHRV][RHR]
莢	~[RGNV][RGN]
莨	~*[RAN][RADK]
莪	~*[RIX]
莫	~*[RDD]
莱	~*[RLN]
莵	~*[RPCA]
莽	~*[RDR][RADR]
菁	~*[RHU]
菅	~*[RNB]
菇	~*[RGJO]
菊	~*[RNM]
菌	~*[ROH]
菎	~[RDBV][RDB]
菓	~*[RQT][QTNV][QTN]
菖	~[RDDV][RDD]
菘	~*[RTBU]
菜	~*[RET]
菟	~*[RDCA]*[RNCA][RPCAV][RPCA]
菠	~[RWPR][RWP]
菩	~*[RLO]
菫	~*[REC][RCEV][RCE]
華	~*[AJ][RJJQ][RRJ]
菰	~*[RZG]
菱	~*[RYX][RYBP][RYRP]
菲	~*[RRSS]
菴	~*[RXL][RDIL][RDQL]
菶	~*[RFNQ]
菷	~[REJV][RENNV][REJ][RENN]
菻	~*[RTT]
菽	~*[RFSU]
萃	~*[RJJ]
萄	~*[RNWU][RNIV][RNI]
萇	~[REKV][REK]
萋	~*[RJG][RJEG]
萌	~*[RDU]
萍	~[RWPV][RWP]
萎	~*[RHG]
萓	~[RNMV][RNM]
萠	~[RUUR][RUU]
萢	~*[RWNL][RWNR][RWN]
萩	~*[RHF]
萪	~*[RHD]
萬	~*[RU]*[,DV][RQNU]
萱	~*[RNE][RNEE]
萵	~[RQOV][RQO]
萸	~*[RGB]
萼	~*[ROOK][ROKV][ROK]
落	~*[RO][RWPO]
葆	~*[RPOT]
葈	~*[RUOT]
葉	~*[RST][OJJV][OJJ]
葎	~*[RMIE]
著	~*[RHO]*[RYD][RYPD]
葛	~*[RDL][RDNF]
葡	~*[RNAQ][RNIR][RNI]
葢	~*[RDAF]
董	~*[RGQ]
葦	~*[RWJ][RWOS]
葩	~*[RPDC]*[RPDL]
葫	~*[RFU][RJOU]
葬	~*[RDFR]
葭	~*[ROFU][ROXV][ROX]
葮	~*[RERU]
葯	~*[RSNA]
葱	~*[RNQH][RPOHV][RPOH]
葵	~*[RKN][RJED][RJGN]
葷	~[RNCV][RNC]
葹	~*[RFVA]
葺	~[RORV][ROR]
蒂	~*[RLNN]
蒄	~*[RNRA]
蒋	~*[RGCA]*[RGEA]*[RGUA]
蒐	~*[RVA][RPQU]
蒔	~*[RDYA][RHAV][RHA]
蒙	~*[RNRQ]
蒜	~[RRSSV][RRSS]
蒟	~[RLNOV][RLNO]
蒡	~*[RLNF][RGYR][RGY]
蒭	~[RNEEV][RNEE]
蒲	~*[RWI][RWAQ]
蒴	~*[RBEU]
蒸	~*[RWEF]
蒹	~*[RBEF][RQNV][RQN]
蒻	~*[RQBB]*[RQMM]
蒼	~*[RBP][RADO][RDOR][RDO]
蒿	~*[RLQ][RLHO][RLNO][RLOO]
蓁	~*[RFNH]
蓄	~*[XQ][RLWQ]
蓆	~*[RLRN]
蓉	~*[RNW][RNBO]
蓊	~*[RBUE]
蓋	~*[RCE][RYUF]
蓍	~[RYPDV][RYPD]
蓐	~*[RFKA]
蓑	~*[RLDK]
蓖	~*[RPOB]
蓙	~*[RLBY]
蓚	~*[RPP][RPIM]
蓜	~*[REFL]
蓬	~*[RPFW]
蓮	~*[RCW]
蓴	~*[RXA][RCUA][RJQA]
蓼	~*[REM][REEM]
蓿	~*[RNPD]
蔀	~*[RLOB]
蔆	~*[RWY][RWYP]
蔑	~*[RFAA]*[RFAB]
蔓	~*[RMX][RDFU]
蔔	~*[RNEQ]
蔕	~*[RFNN]*[RSNN]
蔗	~*[RLRF]
蔘	~*[RUM][RUDM][RUUM]
蔚	~*[RCRA]
蔟	~*[RFVD]
蔡	~*[RJRS][RJAV][RJA]
蔦	~[RNFV][RNF]
蔬	~*[RYZS]
蔭	~*[RBAT]
蔵	~*[RRV][RAQR][RR]
蔽	~*[RBX][RSNP]
蕀	~*[RJNS][RJJV][RJJ]
蕁	~*[REA][REIA]
蕃	~*[RMQ]
蕈	~*[RXJ][RCDJ]
蕉	~*[RVF]
蕊	~*[RHHH]
蕋	~*[RZZZ]
蕎	~*[RGO][RGNO][RPDO]
蕓	~[RUTV][RUT]
蕕	~*[RQBE]
蕗	~*[ROZO][RLOV][RLO]
蕘	~*[RYR][RQER][RYYR]
蕙	~*[RCH][RCUH][RJQH]
蕚	~[ROOKV][ROOK]
蕣	~*[RENS]
蕨	~*[RLBI]
蕩	~*[RWE][RWDM]
蕪	~*[REK]*[RGL][RVFF]
蕫	~[RLQV][RLQ]
蕭	~*[REH]
蕷	~*[RUA]*[RUT][RUTB]
蕾	~[RUQV][RUQ]
薀	~*[RWOF][RWDFV][RWDF]
薄	~*[XR][RWAA][RWIA]
薇	~*[RMIP]
薈	~*[RAD]*[RQD][RAQD][RBTV][RBT]
薊	~*[RUFR]
薐	~*[RHY][RHYP]
薑	~*[REQE]
薔	~*[RWOO]
薗	~*[ROYK]
薙	~*[RVDV]
薛	~*[RPBL]
薜	~*[RCOL][RPJV][RPJ]
薤	~*[RDRE]
薦	~*[KF][RLKF]
薨	~*[RFNF]
薩	~*[RBLS]*[RBWP]*[RBWS]
薪	~*[RLI][RLTK]
薫	~*[RGQF]
薬	~*[RRN][RBPT][RPDT][RWPT]
薮	~*[RMGP]
薯	~*[RFH][RFYD]
薰	~[RGQFV][RGQF]
薹	~*[RTE][RYOP]
薺	~*[RWH]*[RWR]
藁	~*[RLHT]*[RLNT]*[RLOT][RQTV][RQT]
藉	~*[XD][RLRD]
藍	~*[RRF][RRVF]
藏	~[RAQRV][RAQR]
藐	~*[REQR]*[RUQR]
藕	~*[RLQU]
藜	~*[RHDW]
藝	~*[RT][RYBT][RYRT][RYZT][RZZ]
藤	~*[RUBW]
藥	~[RPDTV][RRNV][RSNAV][RWPTV][RPDT][RRN][RSNA][RWPT]
藩	~*[RWMQ]
藪	~[RMGPV][RMGP]
藷	~*[RIYD][RIHV][RIH]
藹	~*[RID][RIDB][RIDF][RIDL]
藺	~*[RMV]
藻	~*[RWLT]*[RWOT]
藾	~*[RJCB]*[RVSB]
蘂	~*[RHHT]
蘆	~*[RZQF]
蘇	~*[RDB][RUFH]
蘊	~*[RSDF]*[RSOF]
蘋	~*[RZSB]*[RZST][RPJR][RPJ]
蘓	~*[RHUF]
蘖	~*[RPBT]
蘗	~*[RPT][RCOT]
蘚	~[RUFHV][RUFH]
蘢	~*[RAL][RAKP][RLUL]
蘭	~*[BSE]*[RMN][RMCS][RMJS]
蘯	~*[RWDF][RWEFV][RWEF]
蘰	~*[RSDU][RSMV][RSM]
蘿	~*[RFC][RFSV]
